# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = simpleLR_model
# start_datetime = 2022-10-23 13:41:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/57/xr8vd64j2_qd3ckpnwhjpw_h0000gn/T/tmp9mp0h5ln/g7g5kxd0.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/yyamaguchi/Desktop/programming/BayesianStatistics/src/01_simpleLinearReg/output/simpleLR-20221023224141_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,y_base.1,y_base.2,y_base.3,y_base.4,y_base.5,y_base.6,y_base.7,y_base.8,y_base.9,y_base.10,y_base.11,y_base.12,y_base.13,y_base.14,y_base.15,y_base.16,y_base.17,y_base.18,y_base.19,y_base.20
-94.4792,0.0914372,0.255866,3,15,0,97.6136,22.594,18.8522,99.7177,475.047,475.047,512.752,625.865,644.717,682.422,738.978,776.683,776.683,833.239,833.239,852.092,927.5,1002.91,1078.32,1078.32,1097.17,1116.02,1134.87,1134.87
-94.1887,0.999712,0.0482769,6,95,0,94.7026,23.4127,18.8877,81.1037,476.719,476.719,514.494,627.821,646.708,684.484,741.147,778.923,778.923,835.586,835.586,854.474,930.025,1005.58,1081.13,1081.13,1100.01,1118.9,1137.79,1137.79
-94.1011,0.99877,0.0803915,7,167,0,94.3334,20.193,19.0267,88.9642,476.834,476.834,514.888,629.048,648.075,686.128,743.208,781.262,781.262,838.342,838.342,857.369,933.476,1009.58,1085.69,1085.69,1104.72,1123.74,1142.77,1142.77
-94.8355,0.907721,0.132642,8,263,0,95.681,-1.0735,19.4549,110.968,465.845,465.845,504.755,621.484,640.939,679.849,738.214,777.123,777.123,835.488,835.488,854.943,932.763,1010.58,1088.4,1088.4,1107.86,1127.31,1146.77,1146.77
-93.6121,0.950117,0.175639,2,3,0,94.8501,-1.24226,19.5491,83.9041,467.937,467.937,507.035,624.33,643.879,682.977,741.624,780.722,780.722,839.37,839.37,858.919,937.115,1015.31,1093.51,1093.51,1113.06,1132.61,1152.16,1152.16
-93.6105,0.549601,0.255705,7,149,0,94.9436,-13.7601,19.6959,94.9734,458.941,458.941,498.333,616.509,636.205,675.596,734.684,774.076,774.076,833.164,833.164,852.859,931.643,1010.43,1089.21,1089.21,1108.91,1128.6,1148.3,1148.3
-94.6204,0.964541,0.146787,3,15,0,94.7155,-13.6725,20.1102,70.9255,468.973,468.973,509.194,629.855,649.966,690.186,750.517,790.737,790.737,851.068,851.068,871.178,951.619,1032.06,1112.5,1112.5,1132.61,1152.72,1172.83,1172.83
-94.1736,1,0.220032,2,5,0,96.0715,-13.7882,19.1771,97.7423,446.463,446.463,484.817,599.88,619.057,657.411,714.943,753.297,753.297,810.828,810.828,830.006,906.714,983.423,1060.13,1060.13,1079.31,1098.49,1117.66,1117.66
-94.1736,6.21144e-127,0.355752,1,1,0,98.6045,-13.7882,19.1771,97.7423,446.463,446.463,484.817,599.88,619.057,657.411,714.943,753.297,753.297,810.828,810.828,830.006,906.714,983.423,1060.13,1060.13,1079.31,1098.49,1117.66,1117.66
-94.5176,0.99896,0.0591993,5,31,0,94.9099,-12.9422,20.1325,73.5394,470.239,470.239,510.504,631.299,651.431,691.696,752.094,792.359,792.359,852.757,852.757,872.889,953.419,1033.95,1114.48,1114.48,1134.61,1154.74,1174.88,1174.88
-93.8446,1,0.0956739,3,7,0,94.6303,-12.8039,19.9845,92.6879,466.824,466.824,506.793,626.699,646.684,686.653,746.606,786.575,786.575,846.529,846.529,866.513,946.451,1026.39,1106.33,1106.33,1126.31,1146.3,1166.28,1166.28
-94.3484,0.999864,0.154053,8,383,0,95.2465,18.7737,18.6335,93.9151,465.977,465.977,503.244,615.045,633.679,670.946,726.846,764.113,764.113,820.013,820.013,838.647,913.181,987.715,1062.25,1062.25,1080.88,1099.52,1118.15,1118.15
-94.7741,0.988461,0.246522,7,143,0,94.8851,31.1554,18.3454,79.7473,471.444,471.444,508.135,618.207,636.552,673.243,728.279,764.97,764.97,820.006,820.006,838.351,911.732,985.114,1058.5,1058.5,1076.84,1095.19,1113.53,1113.53
-94.4732,0.37822,0.382466,1,3,0,95.6229,31.6291,18.5346,80.8579,476.459,476.459,513.528,624.735,643.27,680.339,735.943,773.012,773.012,828.615,828.615,847.15,921.288,995.427,1069.56,1069.56,1088.1,1106.63,1125.17,1125.17
-95.352,0.986754,0.154155,8,315,0,95.5554,57.8738,18.2052,81.1287,494.799,494.799,531.209,640.44,658.645,695.056,749.671,786.082,786.082,840.697,840.697,858.903,931.723,1004.54,1077.37,1077.37,1095.57,1113.78,1131.98,1131.98
-92.8691,0.664556,0.237648,9,695,0,100.239,-189.844,23.108,79.7831,364.748,364.748,410.964,549.612,572.72,618.936,688.26,734.477,734.477,803.801,803.801,826.909,919.341,1011.77,1104.2,1104.2,1127.31,1150.42,1173.53,1173.53
-93.3915,0.950004,0.180884,4,31,0,94.8274,-190.538,22.9282,86.384,359.739,359.739,405.595,543.164,566.093,611.949,680.734,726.59,726.59,795.375,795.375,818.303,910.016,1001.73,1093.44,1093.44,1116.37,1139.3,1162.23,1162.23
-92.9141,0.683253,0.255985,5,63,0,95.0668,-192.843,23.1775,82.5951,363.416,363.416,409.771,548.836,572.014,618.369,687.901,734.256,734.256,803.788,803.788,826.966,919.675,1012.39,1105.1,1105.1,1128.27,1151.45,1174.63,1174.63
-94.0817,0.997638,0.203334,8,279,0,94.2444,-245.445,24.2379,88.498,336.266,336.266,384.741,530.169,554.407,602.883,675.596,724.072,724.072,796.786,796.786,821.024,917.976,1014.93,1111.88,1111.88,1136.12,1160.36,1184.59,1184.59
-94.8184,0.884623,0.317088,3,7,0,94.8538,-245.231,24.0339,99.2977,331.581,331.581,379.649,523.852,547.886,595.953,668.055,716.123,716.123,788.224,788.224,812.258,908.393,1004.53,1100.66,1100.66,1124.7,1148.73,1172.77,1172.77
-94.8184,7.77244e-12,0.386915,1,1,0,96.7668,-245.231,24.0339,99.2977,331.581,331.581,379.649,523.852,547.886,595.953,668.055,716.123,716.123,788.224,788.224,812.258,908.393,1004.53,1100.66,1100.66,1124.7,1148.73,1172.77,1172.77
-93.1516,0.996451,0.0725661,10,1023,0,95.4491,-176.55,23.4215,68.4416,385.565,385.565,432.408,572.937,596.358,643.201,713.466,760.308,760.308,830.573,830.573,853.994,947.68,1041.37,1135.05,1135.05,1158.47,1181.89,1205.32,1205.32
-93.9571,0.695885,0.112657,3,7,0,97.1875,-176.15,23.0093,107.567,376.072,376.072,422.09,560.146,583.155,629.174,698.202,744.22,744.22,813.248,813.248,836.257,928.294,1020.33,1112.37,1112.37,1135.38,1158.39,1181.4,1181.4
-92.7582,0.988824,0.0928201,3,11,0,95.0782,-176.264,23.4551,82.1298,386.657,386.657,433.567,574.297,597.752,644.662,715.028,761.938,761.938,832.303,832.303,855.758,949.578,1043.4,1137.22,1137.22,1160.67,1184.13,1207.58,1207.58
-92.9005,0.859772,0.140949,4,31,0,96.3292,-177.45,22.8516,71.8365,370.99,370.99,416.693,553.803,576.655,622.358,690.913,736.616,736.616,805.171,805.171,828.023,919.429,1010.84,1102.24,1102.24,1125.09,1147.95,1170.8,1170.8
-94.0155,0.950037,0.163127,9,687,0,96.0458,-83.9698,20.5446,101.534,409.101,409.101,450.19,573.458,594.003,635.092,696.726,737.815,737.815,799.449,799.449,819.993,902.172,984.35,1066.53,1066.53,1087.07,1107.62,1128.16,1128.16
-92.7668,1,0.226982,3,7,0,94.0199,-83.7484,21.1754,65.7556,424.462,424.462,466.813,593.866,615.041,657.392,720.918,763.269,763.269,826.796,826.796,847.971,932.673,1017.37,1102.08,1102.08,1123.25,1144.43,1165.6,1165.6
-92.2874,0.353796,0.34864,2,7,0,93.0364,-82.996,20.9815,74.1393,420.561,420.561,462.524,588.413,609.394,651.358,714.302,756.265,756.265,819.21,819.21,840.191,924.117,1008.04,1091.97,1091.97,1112.95,1133.93,1154.91,1154.91
-92.2722,0.739111,0.142873,8,311,0,95.3353,-112.809,21.6472,85.7524,406.723,406.723,450.017,579.9,601.548,644.842,709.783,753.078,753.078,818.019,818.019,839.667,926.255,1012.84,1099.43,1099.43,1121.08,1142.73,1164.37,1164.37
-94.0657,0.940143,0.129026,4,15,0,94.649,-112.663,22.3549,67.0128,423.855,423.855,468.565,602.694,625.049,669.759,736.824,781.533,781.533,848.598,848.598,870.953,960.373,1049.79,1139.21,1139.21,1161.57,1183.92,1206.28,1206.28
