# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = simpleLR_model
# start_datetime = 2022-10-23 13:41:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/57/xr8vd64j2_qd3ckpnwhjpw_h0000gn/T/tmp9mp0h5ln/g7g5kxd0.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/yyamaguchi/Desktop/programming/BayesianStatistics/src/01_simpleLinearReg/output/simpleLR-20221023224141_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,y_base.1,y_base.2,y_base.3,y_base.4,y_base.5,y_base.6,y_base.7,y_base.8,y_base.9,y_base.10,y_base.11,y_base.12,y_base.13,y_base.14,y_base.15,y_base.16,y_base.17,y_base.18,y_base.19,y_base.20
-93.1634,0.998761,0.205211,4,23,0,95.701,-121.715,21.4479,92.0382,393.035,393.035,435.931,564.619,586.067,628.963,693.306,736.202,736.202,800.546,800.546,821.994,907.786,993.578,1079.37,1079.37,1100.82,1122.27,1143.71,1143.71
-93.1634,0.00221554,0.341282,1,3,1,98.4371,-121.715,21.4479,92.0382,393.035,393.035,435.931,564.619,586.067,628.963,693.306,736.202,736.202,800.546,800.546,821.994,907.786,993.578,1079.37,1079.37,1100.82,1122.27,1143.71,1143.71
-93.1903,0.998875,0.0512659,10,1023,0,98.7509,-37.8673,19.7717,82.8368,436.654,436.654,476.198,594.828,614.6,654.143,713.458,753.002,753.002,812.317,812.317,832.089,911.176,990.263,1069.35,1069.35,1089.12,1108.89,1128.66,1128.66
-93.3948,0.995741,0.085475,8,415,0,94.0073,-22.8225,19.5494,89.5343,446.363,446.363,485.462,602.758,622.307,661.406,720.054,759.153,759.153,817.801,817.801,837.351,915.548,993.746,1071.94,1071.94,1091.49,1111.04,1130.59,1130.59
-92.3425,0.984274,0.140456,10,1023,0,96.59,-155.633,22.6515,70.8855,388.003,388.003,433.306,569.214,591.866,637.169,705.123,750.426,750.426,818.381,818.381,841.032,931.638,1022.24,1112.85,1112.85,1135.5,1158.15,1180.8,1180.8
-93.2074,0.336355,0.223127,5,53,0,93.5802,-154.377,22.9275,64.9408,395.883,395.883,441.738,579.304,602.231,648.086,716.869,762.724,762.724,831.506,831.506,854.434,946.144,1037.85,1129.56,1129.56,1152.49,1175.42,1198.35,1198.35
-93.2288,0.998218,0.0772664,4,15,0,93.9164,-153.806,22.1082,74.1394,376.792,376.792,421.008,553.658,575.766,619.983,686.307,730.524,730.524,796.849,796.849,818.957,907.39,995.823,1084.26,1084.26,1106.36,1128.47,1150.58,1150.58
-92.491,0.994028,0.126482,6,79,0,93.6999,-150.748,22.7951,86.5473,396.333,396.333,441.923,578.694,601.489,647.079,715.464,761.054,761.054,829.439,829.439,852.234,943.415,1034.59,1125.77,1125.77,1148.57,1171.37,1194.16,1194.16
-93.6979,0.985573,0.203719,9,623,0,94.9398,-234.39,24.6496,88.5663,357.199,357.199,406.498,554.396,579.045,628.344,702.293,751.592,751.592,825.541,825.541,850.191,948.789,1047.39,1145.99,1145.99,1170.63,1195.28,1219.93,1219.93
-93.6979,5.14197e-12,0.319814,1,1,0,95.4194,-234.39,24.6496,88.5663,357.199,357.199,406.498,554.396,579.045,628.344,702.293,751.592,751.592,825.541,825.541,850.191,948.789,1047.39,1145.99,1145.99,1170.63,1195.28,1219.93,1219.93
-94.4653,0.991649,0.0526641,6,127,0,95.7717,-235.465,23.8157,81.5125,336.111,336.111,383.743,526.637,550.452,598.084,669.531,717.162,717.162,788.609,788.609,812.425,907.688,1002.95,1098.21,1098.21,1122.03,1145.84,1169.66,1169.66
-92.7048,0.987529,0.0840374,9,815,0,95.9724,-188.658,23.2002,83.2668,368.147,368.147,414.548,553.749,576.95,623.35,692.951,739.351,739.351,808.952,808.952,832.152,924.953,1017.75,1110.55,1110.55,1133.76,1156.96,1180.16,1180.16
